Tieback,Comment,CategoryCode,Category,SubCategoryCode,SubCategory,Coded CategoryCode,Category_1,Coded SubCategoryCode,SubCategory_1,ConditionCode,Condition Description,FinalCode,Hot Alert
57672223,My remote start worked for two weeks only. I have Had to bear the cold without my car starting because the freaking app doesn’t work. WTF. I oaid aLOT of money for this car. The most I’ve ever spent on any one car and my remote start doesn’t work. Toyota isn’t right! But what does Toyota care cause I’ve already purchase the car. Haven’t heard jack about this app being fixed. Cold car all winter!!!,14,Interior Operation & Controls,28,Remote keyless entry,29,"Audio, Communication, Navigation System",47,Remote engine start/stop from app,IC,Inoperative,052947IC,True
57542268,"the nav system does not provide adequate information in a timely manner. At highway speeds it provides information too late to get into the proper lane to exit, for example. Sometimes it tells me the name of a street I'm turning onto, other times it doesn't so there is no way to assure I'm in the correct place. It tells me about traffic issues miles beyond where I will turn off a particular route.",29,"Audio, Communication, Navigation System",20,Navigation performance,29,"Audio, Communication, Navigation System",20,Navigation performance,PA,Performance,052920PA,True
57695908,I am truly disappointed in Toyota I will not purchase another one. I have called several times about remote connect. No one seems to care. I never get update on what’s going on and for all I know the problem will never get fixed. I haven’t been able to use this feature suring the coldest months this year. The remote connect is what sold me on this model due to the fact I could start my car at work,29,"Audio, Communication, Navigation System",47,Remote engine start/stop from app,29,"Audio, Communication, Navigation System",47,Remote engine start/stop from app,ZZ,Unspecified ,052947ZZ,False
57604937,Highway speeds the transmission is junk.  Makes me tired driving it.  If it can’t be updated the Tacoma will be piled up in junk yards.  I don’t trade trucks often but I’m hoping an asteroid hits mine so I can feel good about not keeping it.  I don’t understand how a company can take a great looking truck and kill it with a junk transmission. My horses change their gates smoother than my 2020 Taco,43,Transmssion,4,"Shifts up, down too often",43,Transmssion,7,Rough shifting,SF,"Shifting roughly, difficulty shifting, harsh engagement (transmission)",054307SF,False
57695908,I am truly disappointed in Toyota I will not purchase another one. I have called several times about remote connect. No one seems to care. I never get update on what’s going on and for all I know the problem will never get fixed. I haven’t been able to use this feature suring the coldest months this year. The remote connect is what sold me on this model due to the fact I could start my car at work,29,"Audio, Communication, Navigation System",47,Remote engine start/stop from app,NULL,NULL,NULL,NULL,NULL,NULL,0,False
57647635,It's unfortunate fat people pay so much for navigation which is really nice however the best navigation that you can get is on your cell phone. It's always up to date where are the navigation systems on cars you have to pay a large amount of money to update it and even then it doesn't give us good directions as your cell phone. Would be better to have a screen that you can plug your cell phone int,29,"Audio, Communication, Navigation System",99,Audio/Comm/Nav problem other than listed,29,"Audio, Communication, Navigation System",20,Navigation performance,WC,"Would like to have, change, add feature, make standard",052920WC,False
57707196,"The one by your left knee doesn't close easily, pops open and caught my pant leg when i was getting in the car. Hard to get it back in place.  The one below the dash in the center seems badly designed. Wouldn't it be better to have the plugs inside it so the cords could be hidden? As it is now, we have two cords lying on the center console and if we try to hide them the sliding cover doesn't close",14,Interior Operation & Controls,2,Coin holder,14,Interior Operation & Controls,2,Coin holder,HD,Hard to close,051402HD,False
57684815,"Started car on cold morning, turned heat up while car warmed up. When started driving, i thought the heater just worked really well but I started turning it down cause it was so hot. I touched the air vents to see and they were burning hot. I turned temp all the way down to “Lo” and it was still extremely hot. When I got to where I could stop, I turned car off then back on and it resolved itself.",22,"Heating, Ventilation & Cooling",18,Front AC not functioning,22,"Heating, Ventilation & Cooling",16,Front heater not hot enough,AF,"Not hot enough, too hot",052216AF,True
57684815,"Started car on cold morning, turned heat up while car warmed up. When started driving, i thought the heater just worked really well but I started turning it down cause it was so hot. I touched the air vents to see and they were burning hot. I turned temp all the way down to “Lo” and it was still extremely hot. When I got to where I could stop, I turned car off then back on and it resolved itself.",22,"Heating, Ventilation & Cooling",15,Front heater not functioning,22,"Heating, Ventilation & Cooling",15,Front heater not functioning,NF,"Not working properly, malfunction",052215NF,True
57684815,"Started car on cold morning, turned heat up while car warmed up. When started driving, i thought the heater just worked really well but I started turning it down cause it was so hot. I touched the air vents to see and they were burning hot. I turned temp all the way down to “Lo” and it was still extremely hot. When I got to where I could stop, I turned car off then back on and it resolved itself.",22,"Heating, Ventilation & Cooling",19,Rear heater not functioning,22,"Heating, Ventilation & Cooling",19,Rear heater not functioning,NF,"Not working properly, malfunction",052219NF,True
57684815,"Started car on cold morning, turned heat up while car warmed up. When started driving, i thought the heater just worked really well but I started turning it down cause it was so hot. I touched the air vents to see and they were burning hot. I turned temp all the way down to “Lo” and it was still extremely hot. When I got to where I could stop, I turned car off then back on and it resolved itself.",22,"Heating, Ventilation & Cooling",22,Rear AC not functioning,22,"Heating, Ventilation & Cooling",90,Other - Heater,NF,"Not working properly, malfunction",052290NF,True
57668946,"Car performs ok / smooth when it is on electric charge, but the moment I start driving it on gas, the power is horrible. I sometimes wonder how did I ended up buying this car. The car runs very sluggish, slow and hungry for some power behind it when it is running on gas. Combination of GAS and ECO mode can be the worst combination and experience that Toyota can give to its customers for trusting.",41,Engine,7,Lacks power,41,Engine,7,Lacks power,ED,"Engine-lacks, no power, slugglish, engine power",054107ED,True
57382958,"I was driving in the snow and the tires kick the snow up into the rear wheel wells and packs it all in there to the point where my car started to vibrate because there was so much snow accumulated that it threw my back end out of balance. I never had this kind of problem with my corolla. Maybe it has to do with how low to the ground the Camry is, but it seemed dangerous to lose stability in snow.",34,Handling & Steering,1,Handling stability,34,Handling & Steering,1,Handling stability,PA,Performance,053401PA,True
57382958,"I was driving in the snow and the tires kick the snow up into the rear wheel wells and packs it all in there to the point where my car started to vibrate because there was so much snow accumulated that it threw my back end out of balance. I never had this kind of problem with my corolla. Maybe it has to do with how low to the ground the Camry is, but it seemed dangerous to lose stability in snow.",34,Handling & Steering,1,Handling stability,NULL,NULL,NULL,NULL,NULL,NULL,9,True
57664219,"When we purchased the car the dealership said they could install “factory leather” . Upon the return of our vehicle the dealership has I still oversized leather slip covers on out seat loose fitting, sloppy seams and foam exposed from the bottom front seat. We have been in contact with the dealership but they feel it is not their problem and have done nothing to fix the issue. They also over serv",13,Interior Fit and Appearance,99,"Interior fit, Appearance prob other than liste",26,Seats,2,Seat material,AD,Appearance,052602AD,True
57676238,"I hate it. It’s response to touch is way to slow for today’s technology. Also I have many problems connecting my phone to it. For some reason I loose sound from some pings from some apps. And often while using the map, when it’s giving me directions, my music turns off and I have to manually select sound source to go back to music. It’s too annoying so I instead decided never to connect my phone.",29,"Audio, Communication, Navigation System",58,Apple CarPlay™/Android Auto™,29,"Audio, Communication, Navigation System",58,Apple CarPlay™/Android Auto™,PA,Performance,052958PA,True
57382958,"I was driving in the snow and the tires kick the snow up into the rear wheel wells and packs it all in there to the point where my car started to vibrate because there was so much snow accumulated that it threw my back end out of balance. I never had this kind of problem with my corolla. Maybe it has to do with how low to the ground the Camry is, but it seemed dangerous to lose stability in snow.",34,Handling & Steering,1,Handling stability,34,Handling & Steering,4,Vehicle vibration,VA,Vibration,053404VA,True
57664219,"When we purchased the car the dealership said they could install “factory leather” . Upon the return of our vehicle the dealership has I still oversized leather slip covers on out seat loose fitting, sloppy seams and foam exposed from the bottom front seat. We have been in contact with the dealership but they feel it is not their problem and have done nothing to fix the issue. They also over serv",13,Interior Fit and Appearance,99,"Interior fit, Appearance prob other than liste",26,Seats,2,Seat material,SB,"Sagging, parting seams, poor stitching (fabric)",052602SB,True
57676238,"I hate it. It’s response to touch is way to slow for today’s technology. Also I have many problems connecting my phone to it. For some reason I loose sound from some pings from some apps. And often while using the map, when it’s giving me directions, my music turns off and I have to manually select sound source to go back to music. It’s too annoying so I instead decided never to connect my phone.",29,"Audio, Communication, Navigation System",58,Apple CarPlay™/Android Auto™,29,"Audio, Communication, Navigation System",58,Apple CarPlay™/Android Auto™,PG,Pairing (connect-compatible),052958PG,True
57693044,"The AC system on my 2018 Tacoma had major noise problems. It would make loud ""breathing"" sounds, like Darth Vader living my my dashboard, and it would also make high-pitched whistling sounds that coincided with the breathing noise. It was SO bad that I opened a case with Toyota Corporate. It was never fixed, which is why I got the 2020. AC in new truck whistles sometimes, but no Darth Vader. FIX!",22,"Heating, Ventilation & Cooling",99,"Heating, vent, cool prob other than listed",22,"Heating, Ventilation & Cooling",91,Other - AC,ND,Noise-wind noise,052291ND,True
57615000,"Seat height control and Back Rest angle are not independent. Head restraint is not inline with the back rest, forcing the head forward. Ruselt is poor comfort, posture, neck pain, and back discomfort. to get the proper head/roof clearance, I have to lower the seat to a point where the back rest is reclined more than 25deg, then I have to recline the seat more due to  the head rest pushing my head",26,Seats,10,Seat comfort,26,Seats,8,Headrest,CI,"Comfort, fit",052608CI,True
57615000,"Seat height control and Back Rest angle are not independent. Head restraint is not inline with the back rest, forcing the head forward. Ruselt is poor comfort, posture, neck pain, and back discomfort. to get the proper head/roof clearance, I have to lower the seat to a point where the back rest is reclined more than 25deg, then I have to recline the seat more due to  the head rest pushing my head",26,Seats,10,Seat comfort,13,Interior Fit and Appearance,90,Other - Interior space/room,SM,"Space, spacing",051390SM,True
57666173,There were not any parking assist buttons on the front of the vehicle which I automatically thought would be on there like my old XLE. Had to get aftermarket ones put on. Very disappointed. Can’t understand why this isn’t an automatic SAFETY feature....for instance if a child runs in front of your car those sensors should be there. IS IT OK to have sensors to prevent you hitting something backing,14,Interior Operation & Controls,27,Park assist,14,Interior Operation & Controls,27,Park assist,WC,"Would like to have, change, add feature, make standard",051427WC,False
57681564,"Dual controls--they don't actually do anything.  You change one side, the other side changes too.  That's not what it says on the display, but that's what the heat or cooling coming out on both sides says.  For example, I can have both sides set on 72.  The temp on both sides coming out of the vents is the same.  Then I can change one side to 80 and after a while the temp from both sides is equal",22,"Heating, Ventilation & Cooling",12,"Automatic heating, AC controls",22,"Heating, Ventilation & Cooling",12,"Automatic heating, AC controls",NF,"Not working properly, malfunction",052212NF,False
57584960,To this day I have not yet received any feedback whatsoever on the issue that I reported to my local dealership regarding my inability to place calls on CarPlay. I can hear everyone but they cannot hear me unless I unplug the phone from the lightning cable. I have to this date reported it at least 5 times. The service Director said he would get back to me on this...that was back in mid Dec. 2019,29,"Audio, Communication, Navigation System",58,Apple CarPlay™/Android Auto™,29,"Audio, Communication, Navigation System",58,Apple CarPlay™/Android Auto™,NF,"Not working properly, malfunction",052958NF,True
57710957,"I feel that they are cheaply made. I made a slow turn into my narrow uphill driveway & barely clipped the side of the curb & it busted the flimsy plastic latch that holds the fender to the inside of the wheel well. For the amount of money I spent on the car, it should be somewhat durable. I was able to push back in place but it is not attached securely. I didn’t have this issue  w/my 2008 Prius.",19,Exterior Body,25,Fenders,19,Exterior Body,25,Fenders,QA,"Quality (cheap looking, cheaply made",051925QA,True
57624643,"I once stalled the car, and afterwards could not turn off the radio. The screen could be turned off but the button's lights would remain on. I could still interact via the display screen despite it appearing off. A reset of the radio fixed it, but it took me 2 days to realize that was even an option. This is the part of the survey where I bitch like an old man that ""new cars are too complicated""",29,"Audio, Communication, Navigation System",1,"AM, FM Radio",29,"Audio, Communication, Navigation System",1,"AM, FM Radio",NF,"Not working properly, malfunction",052901NF,True
57668209,"This truck shift all of the time. I hear there have been enhancements for 2020, I’m wondering if it’s simply software? Anyway, it seems to want to upshift prematurely, so then it will have to down shift right away(a constant cycle for the trip duration)This seems to happen at any speed and weather condition. I’m sure it’s just a fuel economy strategy, which I can respect. (I’ve pulled 25mpg hwy)",43,Transmssion,4,"Shifts up, down too often",43,Transmssion,4,"Shifts up, down too often",SG,"Shifting up, down too often",054304SG,True
57584960,To this day I have not yet received any feedback whatsoever on the issue that I reported to my local dealership regarding my inability to place calls on CarPlay. I can hear everyone but they cannot hear me unless I unplug the phone from the lightning cable. I have to this date reported it at least 5 times. The service Director said he would get back to me on this...that was back in mid Dec. 2019,29,"Audio, Communication, Navigation System",58,Apple CarPlay™/Android Auto™,NULL,NULL,NULL,NULL,NULL,NULL,9,True
57589997,after parking pulled shift lever into drive but remained in park P light on and would not move with engine revved. Notified service center and mechanic could not explain it other than something I did. Now it has happened again and I will be visiting the service dept. again. I was able to put lever back in park position and return it to drive position and then it engaged and was able to drive it.,43,Transmssion,99,Transmission problem other than listed,43,Transmssion,91,Other - Gear shift,NF,"Not working properly, malfunction",054391NF,False
57668423,"They're decent, but touch sensitivity is not reliable - it can be over or under sensitive regardless of settings / also there are system/screen issues, entire screen/system reset on their own during winter, despite vehicle remaining on / occasional lag time switching between temp control / audio control settings - worrisome for how to control audio/temp when/if system/screen resets or goes down",29,"Audio, Communication, Navigation System",3,Audio controls,29,"Audio, Communication, Navigation System",4,Audio Display,NF,"Not working properly, malfunction",052904NF,True
57668423,"They're decent, but touch sensitivity is not reliable - it can be over or under sensitive regardless of settings / also there are system/screen issues, entire screen/system reset on their own during winter, despite vehicle remaining on / occasional lag time switching between temp control / audio control settings - worrisome for how to control audio/temp when/if system/screen resets or goes down",29,"Audio, Communication, Navigation System",3,Audio controls,29,"Audio, Communication, Navigation System",3,Audio controls,PA,Performance,052903PA,True
57612933,rear bumper is misaligned.  looks like it was hit.  there has been no accident.  Miller Toyota looked at it and verified there was no damage from an accident.  Then the service rep told us that all the Tacoma's on the lot had slight misalignment issues.  This is more than slight! I called in to Corporate and was given a case number on 1/23/2020.  No response to date from the Dealer.  2001231263,19,Exterior Body,24,Bumpers,NULL,NULL,NULL,NULL,NULL,NULL,9,True
57615282,The Apple CarPlay constantly turns off out of no where. It will be fine one trip and not mess up at all. Then there’s times it’ll decide to shut off multiple times on one trip. Before you ask if I have the original plug from Apple my answer is yes. Another thing I don’t like is the fact that the music shuts off when I’m reversing from my drive way. It defeats the purpose of me setting it before,29,"Audio, Communication, Navigation System",58,Apple CarPlay™/Android Auto™,29,"Audio, Communication, Navigation System",58,Apple CarPlay™/Android Auto™,NF,"Not working properly, malfunction",052958NF,True
57667839,"I had a good quality braided aftermarket iPhone charging cable that worked flawlessly for about 2 weeks using CarPlay, but then it would pop up on my phone ""Unsupported accessory"" and would have to unplug and replug in the phone.  After a few days of that, the cable wouldn't work at all (charge the phone or allow CarPlay).  The other charge ports will still let it charge with that cable though.",29,"Audio, Communication, Navigation System",9,USB (input/charging),29,"Audio, Communication, Navigation System",58,Apple CarPlay™/Android Auto™,NF,"Not working properly, malfunction",052958NF,True
57612933,rear bumper is misaligned.  looks like it was hit.  there has been no accident.  Miller Toyota looked at it and verified there was no damage from an accident.  Then the service rep told us that all the Tacoma's on the lot had slight misalignment issues.  This is more than slight! I called in to Corporate and was given a case number on 1/23/2020.  No response to date from the Dealer.  2001231263,19,Exterior Body,24,Bumpers,19,Exterior Body,24,Bumpers,MA,Misaligned,051924MA,True
57606666,"Vehicle has turned off on me 2 times when reversing in the road, been in the shop both times. The 2nd time there was a engine stall code, toyota service can not find the problem.  This is very concerning as it is a huge safety concern that the vehicle can turn off and I will be in danger of being hit by another vehicle. Not good to buy a brand new truck and be scared for my safety while driving",41,Engine,10,Stalling,NULL,NULL,NULL,NULL,NULL,NULL,0,False
57606666,"Vehicle has turned off on me 2 times when reversing in the road, been in the shop both times. The 2nd time there was a engine stall code, toyota service can not find the problem.  This is very concerning as it is a huge safety concern that the vehicle can turn off and I will be in danger of being hit by another vehicle. Not good to buy a brand new truck and be scared for my safety while driving",41,Engine,10,Stalling,41,Engine,10,Stalling,EC,"Engine-hesitation, stumbles, dies",054110EC,False
57679337,"I have GBS. I tested, per included procedure, and there was no alarm. I asked Lexus Service to check that option was included and they could not confirm, and weren’t willing to test, for fear of breaking window. They advised me to talk to the Tech expert, which I did. She had never heard of the option. I then went to the Dealership Sales Manager. He told me that no one had ever asked about GBS.",14,Interior Operation & Controls,29,Theft deterrent system,14,Interior Operation & Controls,29,Theft deterrent system,ZZ,Unspecified ,051429ZZ,False
57591061,"Shortly after we bought this new 2020 RX350, the windshield started to crack..from below the hood and then expanded on a daily bases.  I called the dealer and he said contact the service department.  I call service and they told me to call the dealer.  In both cases they said just have your insurance company fix it.  However, it was not cause by an accident or a stone, it was a FACTORY DEFECT.",19,Exterior Body,16,Front windshield,19,Exterior Body,16,Front windshield,BE,"Broken, cracked, torn",051916BE,True
57672223,My car had a bunch of scratches on it and I bought it in good faith that these would be bugged out when i bought It back to the dealership and it was kept overnight. I am Not happy with this because it still was scuffed up. I kick My own ass for driving off the lot that day. Salesmen will tell you anything. Brand new car and shouldn’t have all the scuffs on it. Sales person has never called to,19,Exterior Body,33,"Chipped paint, scratches",19,Exterior Body,99,Exterior problem other than listed,WB,"Worn, scuffed",051999WB,True
57676238,"I have driven cars that at night the headlights illuminate in an even line. This car has a dark spot , like a v shape, that is very visible while driving. When I went to my first scheduled maintenance to get tires rotated I brought it to their attention but instead of scheduling me to have the dealership adjust the lights they instead showed me where I could do it myself... in a brand new car?",14,Interior Operation & Controls,18,Headlight controls,14,Interior Operation & Controls,18,Headlight controls,PA,Performance,051418PA,True
57591061,"Shortly after we bought this new 2020 RX350, the windshield started to crack..from below the hood and then expanded on a daily bases.  I called the dealer and he said contact the service department.  I call service and they told me to call the dealer.  In both cases they said just have your insurance company fix it.  However, it was not cause by an accident or a stone, it was a FACTORY DEFECT.",19,Exterior Body,16,Front windshield,NULL,NULL,NULL,NULL,NULL,NULL,9,True
57672223,My car had a bunch of scratches on it and I bought it in good faith that these would be bugged out when i bought It back to the dealership and it was kept overnight. I am Not happy with this because it still was scuffed up. I kick My own ass for driving off the lot that day. Salesmen will tell you anything. Brand new car and shouldn’t have all the scuffs on it. Sales person has never called to,19,Exterior Body,33,"Chipped paint, scratches",NULL,NULL,NULL,NULL,NULL,NULL,0,True
57672223,My car had a bunch of scratches on it and I bought it in good faith that these would be bugged out when i bought It back to the dealership and it was kept overnight. I am Not happy with this because it still was scuffed up. I kick My own ass for driving off the lot that day. Salesmen will tell you anything. Brand new car and shouldn’t have all the scuffs on it. Sales person has never called to,19,Exterior Body,33,"Chipped paint, scratches",19,Exterior Body,33,"Chipped paint, scratches",CS,Scratched - Paint,051933CS,True
57701609,"I am able to connect my iPhone via CarPlay to play music, use maps, etc, but phone calls do not work. Once they connect they are completely glitchy and make the whole entertainment system crash. Maps stop working, I can't hear the person on the other end, they can't hear me, etc. There has not been a fix since I got the car almost 6 months ago, and CarPlay was one of the reasons I got the car.",29,"Audio, Communication, Navigation System",58,Apple CarPlay™/Android Auto™,29,"Audio, Communication, Navigation System",28,Bluetooth - phone calls,SL,Sound quality ,052928SL,False
57542490,"Transmission and overall vehicle response is sluggish and then it over-responds. Vehicle lurches forward sometimes when changing gears. Pronounced at speeds of 5mph to 45mph, but occurrs at highway speeds when attempting to pass or overtake other vehicles. Vehicle does not respond to driver commands as it should. Most pronounced on hills where transmission is shifting, and when engine is cold.",41,Engine,11,Hesitation,41,Engine,11,Hesitation,EC,"Engine-hesitation, stumbles, dies",054111EC,False
57701609,"I am able to connect my iPhone via CarPlay to play music, use maps, etc, but phone calls do not work. Once they connect they are completely glitchy and make the whole entertainment system crash. Maps stop working, I can't hear the person on the other end, they can't hear me, etc. There has not been a fix since I got the car almost 6 months ago, and CarPlay was one of the reasons I got the car.",29,"Audio, Communication, Navigation System",58,Apple CarPlay™/Android Auto™,29,"Audio, Communication, Navigation System",58,Apple CarPlay™/Android Auto™,NF,"Not working properly, malfunction",052958NF,False
57542490,"Transmission and overall vehicle response is sluggish and then it over-responds. Vehicle lurches forward sometimes when changing gears. Pronounced at speeds of 5mph to 45mph, but occurrs at highway speeds when attempting to pass or overtake other vehicles. Vehicle does not respond to driver commands as it should. Most pronounced on hills where transmission is shifting, and when engine is cold.",41,Engine,11,Hesitation,43,Transmssion,99,Transmission problem other than listed,PA,Performance,054399PA,False
57682055,"Provides wrong directions. I had several instances when google maps would give correct advice, while Lexus’ navigation would direct my to a wrong location. Just one example, try Getty Center in LA and navigation will get you to the service entrance on the other side of the hill from the public entrance to the parking garage. This is very annoying, keeping in mind the cost of navigation system.",29,"Audio, Communication, Navigation System",20,Navigation performance,29,"Audio, Communication, Navigation System",20,Navigation performance,MF,NAVI(Navigation) wrong directions given,052920MF,False
57685257,Should not be able to leave the auto headlights off even after cycling the ignition. It should automatically turn back to auto at the start of every ignition cycle. It should Have a spring loaded switch to the off position that can be cycled to turn on and off the auto headlights. Like Chevy. Reason being is so people do not drive in the dark with no taillights and clueless to them being off.,14,Interior Operation & Controls,18,Headlight controls,14,Interior Operation & Controls,18,Headlight controls,WC,"Would like to have, change, add feature, make standard",051418WC,True
57672580,This sucks guys.  You have to get in your truck and not push on the break in order for the car to function.  If I start it from the inside of the house and walk out to my truck.  If I put my foot on the break and key in the ignition it wont function.  I have to do it with my foot off the break.  Then put my foot on the break to put it in gear.  My f150. I literally put the key in the ignition,14,Interior Operation & Controls,28,Remote keyless entry,14,Interior Operation & Controls,28,Remote keyless entry,FB,"Features, options",051428FB,True
57712356,"Speedometer is 2mph off, reading high. 1,000 miles on truck, 100% stock. Truck has never been touched, original tires and wheels and everything else from factory. The speedometer being incorrect puts more miles on truck then actually driven. It also really messes with the mpg average. Took truck on 300+ mile trip, all highway driving. Display indicated 24+ mpg. Actual mpg was 20, did The math",45,Gauges & Lights,12,Speedometer,45,Gauges & Lights,12,Speedometer,IB,Inaccurate,054512IB,True
57614949,"Hybrid, PKSB, pre-collision, LTA malfunction(s), braking power low warning, and check engine. This has occurred three times and has been brought into the dealership each time (two by tow truck). Some of the wiring harness was replaced but still having issues. I’ve been without the vehicle for a total of 30 days at this point.  In addition to above the wireless cell phone charger does not work",14,Interior Operation & Controls,99,Interior Operations problem other than listed,45,Gauges & Lights,3,Check engine light,ZZ,Unspecified ,054503ZZ,True
57614949,"Hybrid, PKSB, pre-collision, LTA malfunction(s), braking power low warning, and check engine. This has occurred three times and has been brought into the dealership each time (two by tow truck). Some of the wiring harness was replaced but still having issues. I’ve been without the vehicle for a total of 30 days at this point.  In addition to above the wireless cell phone charger does not work",14,Interior Operation & Controls,99,Interior Operations problem other than listed,45,Gauges & Lights,16,Brake warning light,ZZ,Unspecified ,054516ZZ,True
57607314,All of my wheels weights fell off or were falling off. The front driver side wheel weights fell off and got lodged between the wheel and front brake caliper. I was driving from Colorado to Texas and had to stop at a Toyota dealership that added an extra 3 hours to my trip. The stretch of highway I was on had no dealerships or shops for 1.5 hours and driving over 65 mph wasn't going to happen.,34,Handling & Steering,4,Vehicle vibration,34,Handling & Steering,13,"Wheels, Rims",LF,"Loose, fell off",053413LF,True
57704425,"Maybe it’s just me...but I struggle EVERY time I try to open and end up just using the key fab. The placement simply doesn’t make sense to me and I end up feeling all over every time no matter how many times I do it. Once I find, it’s hard to push. More frustrating-  this part of the car accumulates an inordinate amount of normal road dust and you can’t EVER open without getting filthy hands.",19,Exterior Body,9,Trunk/hatchback/tailgate,19,Exterior Body,9,Trunk/hatchback/tailgate,PA,Performance,051909PA,True
57614949,"Hybrid, PKSB, pre-collision, LTA malfunction(s), braking power low warning, and check engine. This has occurred three times and has been brought into the dealership each time (two by tow truck). Some of the wiring harness was replaced but still having issues. I’ve been without the vehicle for a total of 30 days at this point.  In addition to above the wireless cell phone charger does not work",14,Interior Operation & Controls,99,Interior Operations problem other than listed,14,Interior Operation & Controls,34,Pre-collision system,NF,"Not working properly, malfunction",051434NF,True
57656779,When it cold and have the heater on & it’s not eco temp warming & when it’s warm & you have the cool a/c on & it’s not on eco temp cooling the gas mileage is not as good or if you are just sitting in your car & is idling for a while your gas mileage is not as good.  I try to get to get the very best gas mileage everyday I drive.  I take it easy & drive slow!  I get overall great gas mileage!,41,Engine,15,Poor fuel consumption,41,Engine,15,Poor fuel consumption,CJ,Consumption,054115CJ,True
